id,text,source,platform,assistant_name,topic,sentiment_label,trust_level,usefulness_label,date_collecte,url_source
P001,"User describes Layla as a game changer for travel planning — like having a super-organized travel buddy that always has great suggestions and keeps everything on track.",Trustpilot (public review),layla.ai,Layla AI,usefulness,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai
P002,"Reviewer reports losing a fully built itinerary after one day — paid for premium export, but the AI scrambled dates and destinations. Called it unusable.",Trustpilot (public review),layla.ai,Layla AI,accuracy,negative,low,low,2025-03-01,https://www.trustpilot.com/review/layla.ai
P003,"User used Layla to plan a Japan trip and loved it — curated video guides for hidden gems and a clear city-to-city route that matched exactly what was needed.",Trustpilot (public review),layla.ai,Layla AI,planning_help,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai?page=2
P004,"Independent reviewer notes Layla performs live web search unlike cutoff-date competitors — correctly identified entry rules and dress codes for Hagia Sophia in a 2026 family trip test.",aitravel.tools (review blog),layla.ai,Layla AI,accuracy,positive,high,high,2026-03-10,https://aitravel.tools/layla-ai-review/
P005,"Reviewer finds Layla asks clarifying questions before generating a plan — a more guided approach than tools that assume details. Called it a fundamental difference in experience.",aitravel.tools (review blog),layla.ai,Layla AI,personalization,positive,medium,high,2026-03-10,https://aitravel.tools/layla-ai-review/
P006,"A date logic bug was caught during testing: Layla scheduled day 1 activities for an evening when the user was still in their origin city. The AI did not account for overnight arrival timing.",aitravel.tools (review blog),layla.ai,Layla AI,accuracy,negative,low,medium,2026-03-10,https://aitravel.tools/layla-ai-review/
P007,"Blogger compares Layla to three other AI planners on a Devon and Cornwall itinerary — finds the output the most basic of all three, almost useless, with no real transport links.",justgonewandering.com (travel blog),layla.ai,Layla AI,generic_recommendations,negative,low,low,2024-11-01,https://justgonewandering.com/ai-travel-planning-chatgpt-layla-guidegeek/
P008,"Comparative test shows Layla generates maps and itinerary cards but hides full day-by-day details behind a paywall. Free tier feels limited for serious trip planning.",practicalglobetrotters.substack.com,layla.ai,Layla AI,planning_help,neutral,medium,medium,2025-08-23,https://practicalglobetrotters.substack.com/p/we-tested-4-ai-travel-services-to
P009,"A user who planned a destination wedding in Bulgaria says Layla was a lifesaver — helped narrow down hotels and figure out the best route without knowing where to start.",Trustpilot (public review),layla.ai,Layla AI,planning_help,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai
P010,"User notes Layla is good for exploring possibilities but not yet reliable enough for complete trip planning. Describes it as a promising but imperfect tool.",Trustpilot (public review),layla.ai,Layla AI,usefulness,neutral,medium,medium,2025-03-01,https://www.trustpilot.com/review/layla.ai
