doc_id,title,source,source_url,source_type,destination,country,language,category,content_summary,key_facts,use_for_rag
ART001,Best Time to Visit Lisbon,Lonely Planet,https://www.lonelyplanet.com/articles/best-time-to-visit-lisbon,travel_guide,Lisbon,Portugal,English,best_time,"Lisbon enjoys nearly 300 days of sunshine annually making it a year-round destination. Spring (April–May) is widely considered the ideal time to visit with mild temperatures around 20–22°C, blooming parks, and manageable crowds. Summer brings heat and peak tourist numbers while autumn offers a quieter, slightly cooler alternative. June features the Festas de Lisboa festival, a major cultural highlight. Winter remains calm and affordable. Easter and late September can still be warm enough for beach trips to nearby coastal areas.","best months: April–May and September–October;summer is peak season with highest prices;Festas de Lisboa celebrated in June;nearly 300 days of sunshine per year;autumn highs around 23°C;winter is quieter and more affordable;spring offers balance of warmth and manageable crowds",yes
ART002,Top Things to Do in Lisbon,Lonely Planet,https://www.lonelyplanet.com/articles/best-things-to-do-in-lisbon,travel_guide,Lisbon,Portugal,English,activities,"Lisbon rewards visitors with a rich variety of experiences spanning historic neighbourhoods, cultural institutions, and vibrant street life. Key highlights include strolling through the Alfama district, visiting the UNESCO-listed Mosteiro dos Jerónimos and Torre de Belém in Belém, and catching sunset from the city's many miradouros (viewpoints). Fado music venues in Alfama offer an authentic cultural experience. The city's art scene spans classic museums such as the Museu Nacional de Arte Antiga to contemporary spaces in the Marvila district. LX Factory is a top spot for food, shopping, and weekend markets.","top areas: Alfama, Belém, Chiado, LX Factory, Marvila;UNESCO sites: Mosteiro dos Jerónimos, Torre de Belém;miradouros (viewpoints) offer panoramic city views;Fado music is iconic to Lisbon culture;tram 28E covers historic areas but is very crowded;art galleries and street art in Marvila district;Sintra and Cascais are popular day trips under 1 hour away",yes
ART003,Getting Around Rome,Lonely Planet,https://www.lonelyplanet.com/articles/getting-around-rome,travel_guide,Rome,Italy,English,transport,"Rome's public transport is managed by ATAC and includes metro, buses, trams, and regional trains. The metro has three lines (A, B, C) with 73 stations and runs frequently. A single ticket costs €1.50 and is valid for 100 minutes across buses and trams. Daily passes (€7), 48-hour (€12.50), 72-hour (€18), and weekly passes (€24) are available. Walking is recommended for the historic centre. Buses cover over 250 lines, many using electric vehicles. Cobblestone streets can make luggage transport difficult. Taxis are metered; apps like FreeNow and itTaxi are reliable options. Uber Black is available but limited.","metro lines: A (orange), B (blue), C (green) with 73 stations;single ticket: €1.50, valid 100 minutes;daily pass: €7; 48h: €12.50; 72h: €18; weekly: €24;over 250 bus lines many with electric buses;walking is best in historic centre;cobblestone streets can challenge luggage;FreeNow and itTaxi are recommended taxi apps;airport taxis have fixed fares (~€50);no cell service in many metro stations",yes
ART004,Rome Culture and Food Guide,Turismo Roma (Official),https://www.turismoroma.it/en,official_tourism,Rome,Italy,English,food,"Rome's food scene is deeply tied to its neighbourhood identity. Testaccio is considered the heart of Roman food culture, known for offal dishes and local markets. Trastevere offers traditional trattorias in a charming ivy-draped setting. Roman dining follows set hours: lunch 12–3pm and dinner 7:30–11pm. Signature dishes include cacio e pepe, carbonara, supplì (fried rice balls), and artichokes alla romana. Standing at the bar is the norm for espresso. Campo de' Fiori hosts a lively outdoor market. Dressing modestly is required for church visits; shoulders and knees must be covered.","key dishes: cacio e pepe, carbonara, supplì, saltimbocca, artichokes alla romana;lunch hours: 12–3pm; dinner: 7:30–11pm;Testaccio is the local food hub;Campo de' Fiori has a daily outdoor market;espresso is consumed standing at the bar;dress code required at Vatican and churches (cover shoulders and knees);free admission to some municipal museums and monuments",yes
ART005,Istanbul Culture and Neighbourhoods Guide,Lonely Planet,https://www.lonelyplanet.com/articles/top-things-to-do-in-istanbul,travel_guide,Istanbul,Turkey,English,culture,"Istanbul is one of the world's most historically layered cities, having served as the capital of both the Byzantine and Ottoman empires for over 1,700 years. The city straddles two continents and offers visitors a rich mix of architectural heritage, vibrant street life, and contemporary culture. Top cultural sites include Hagia Sophia, Topkapı Palace, the Blue Mosque, and the Grand Bazaar in Sultanahmet. Beyoğlu features 19th-century European-influenced architecture and an energetic nightlife scene. Balat is known for its colourful streets, and Kadıköy on the Asian side offers a hip, local atmosphere with excellent food markets and cafes.","key sites: Hagia Sophia, Topkapı Palace, Grand Bazaar, Blue Mosque;neighbourhoods: Sultanahmet, Beyoğlu, Balat, Kadıköy, Nişantaşı;city spans Europe and Asia across the Bosphorus;served as capital of Byzantine and Ottoman empires;Karaköy and Galata are trendy districts with street art and galleries;Bosphorus cruises offer panoramic views of the skyline;best explored neighbourhood by neighbourhood (mahalles)",yes
ART006,Getting Around Istanbul,Lonely Planet,https://www.lonelyplanet.com/articles/where-do-the-locals-go-in-istanbul,travel_guide,Istanbul,Turkey,English,transport,"Istanbul's public transport system is extensive and affordable, covering metro, tram, ferries, and buses. The İstanbulKart is a rechargeable smartcard available at metro stations, tram stops, and ferry piers that saves time and money on all transit modes. Ferries crossing the Bosphorus are not just practical but scenic and are a recommended way to travel between the European and Asian sides. Traffic in this sprawling city can be very heavy at any time, especially during commute hours. Day trips to the Princes' Islands are popular and accessible by ferry. Uber and local taxi apps are available; always verify meter use or agree on price in advance.","İstanbulKart is the recommended smartcard for all public transport;metro, tram, bus, and ferry network covers the city;ferries connect European and Asian sides of the Bosphorus;traffic is heavy throughout the day, avoid driving during peak hours;Princes' Islands reachable by ferry (car-free destination);Uber is available alongside official taxi apps;city is very large — plan transport time generously;taxis should use metered fares",yes
ART007,Marrakech Culture and Medina Guide,Visit Morocco (Official),https://www.visitmorocco.com/en/travel/marrakech,official_tourism,Marrakech,Morocco,English,culture,"Marrakech is one of Morocco's most vibrant imperial cities, renowned for its maze-like medina, lively souks, and stunning architecture. The UNESCO-listed Medina is the cultural heart of the city, home to key monuments such as Bahia Palace, the Saadian Tombs, and Ben Youssef Madrasa. The Djemaa el-Fna square is the city's social epicentre, transforming at dusk into a spectacle of musicians, storytellers, and food stalls. The Majorelle Garden, originally designed by French painter Jacques Majorelle and later restored by Yves Saint Laurent, offers a serene retreat from the bustle. Riads — traditional courtyard guesthouses — provide an authentic accommodation experience in the Medina.","UNESCO-listed Medina is a labyrinth of souks and monuments;Djemaa el-Fna square is the cultural and social hub especially at sunset;key sites: Bahia Palace, Saadian Tombs, Ben Youssef Madrasa, Koutoubia Mosque;Majorelle Garden is a popular green oasis within the city;riads (traditional courtyard guesthouses) are the recommended accommodation style;souks are organized by trade (spices, leather, textiles);hammam experiences are traditional and widely available",yes
ART008,Marrakech Food Experiences,Lonely Planet,https://www.lonelyplanet.com/destinations/africa/marrakesh,travel_guide,Marrakech,Morocco,English,food,"Moroccan cuisine is among the most celebrated in North Africa and Marrakech offers some of its finest expressions. The city is known for fragrant tagines slow-cooked with lamb or chicken, couscous served on Fridays, pastilla (a sweet-savoury pigeon or chicken pie), and harira soup. The Djemaa el-Fna square at night becomes one of the world's great outdoor food experiences with dozens of stalls serving grilled meats, snail soup, and fresh orange juice. Mint tea — served sweet and poured from a height — is a central part of Moroccan hospitality. Rooftop cafes in the Medina offer traditional meals with panoramic views of the old city rooftops.","signature dishes: lamb tagine, couscous, pastilla (sweet-savoury pie), harira soup, mechoui;Djemaa el-Fna hosts dozens of outdoor food stalls at night;fresh-squeezed orange juice is iconic at the square;mint tea is a ritual of hospitality — often served multiple times;Friday couscous is a cultural tradition;rooftop cafes in Medina offer views and traditional food;street food is abundant and affordable in the souks",yes
ART009,Barcelona City Guide: Culture and Architecture,Turisme de Barcelona (Official),https://www.barcelona.cat/turisme/en,official_tourism,Barcelona,Spain,English,culture,"Barcelona is globally recognized for its extraordinary architectural legacy, particularly the works of Antoni Gaudí. The Sagrada Família basilica, still under construction after over 140 years, is the city's most iconic landmark. Park Güell, Casa Batlló, and La Pedrera further display Gaudí's organic, nature-inspired style. The Gothic Quarter (Barri Gòtic) offers medieval streets, Roman ruins, and the Barcelona Cathedral. The Eixample district features Modernista architecture and upscale boutiques along the grid-planned streets. El Born and Gràcia are bohemian neighbourhoods with a strong local identity. The Picasso Museum houses one of the most important collections of the artist's work in the world.","top sites: Sagrada Família, Park Güell, Casa Batlló, La Pedrera, Gothic Quarter, Picasso Museum;Gaudí's architecture is UNESCO listed;Eixample is the Modernista district with grid layout;Barceloneta beach is within walking distance from the city centre;La Boqueria market on Las Ramblas is a popular food hall;neighbourhoods: El Born, Gràcia, Poblenou, Barceloneta;Barcelona has a strong Catalan cultural identity",yes
ART010,Barcelona Food and Budget Tips,Lonely Planet,https://www.lonelyplanet.com/destinations/spain/barcelona,travel_guide,Barcelona,Spain,English,food,"Barcelona's culinary scene reflects both its Catalan identity and Mediterranean roots. Pan amb tomàquet (bread rubbed with tomato) is the quintessential Catalan starter. Tapas, patatas bravas, jamón ibérico, and seafood paella are widely available. The city's markets — particularly La Boqueria and Mercat de Santa Caterina — offer fresh produce and local specialties. Budget travellers can find affordable set lunches (menú del día) at local restaurants for a reasonable fixed price typically including two courses, a drink, and dessert. The city has a strong café culture with vermouth a popular pre-lunch tradition. Drinking public tap water is safe and free water fountains are found across the city.","signature food: pan amb tomàquet, patatas bravas, tapas, seafood, croquetes;menú del día (set lunch) is the best budget dining option;La Boqueria market is popular but touristy — Mercat de Santa Caterina is a local alternative;vermouth (vermut) is a pre-lunch ritual especially on weekends;tap water is safe to drink;food is generally less expensive than in Paris or London;Barceloneta is the go-to neighbourhood for fresh seafood",yes
